provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
host gills of / parasitic on gills of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host hair of / parasitic on hair of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host head of / parasitic on head of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host head of / phoretic on head of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host hypodermis of / parasitic on hypodermis of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host larva of / larval parasite of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host larva of / parasitic on larva of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host leg of / phoretic on leg of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
host limb of / parasitic on limb of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
host limb of / phoretic on limb of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
